Durationinseconds,ResponseId,Age,Gender,HL,Race,Race_5_TEXT,Education,Income,BER_P,BER_N,StressorDesc,PSE_P,PSE_N,A1,A2,A3,A4,A5,A6,A1_P,A1_N,A2_P,A2_N,A3_P,A3_N,A4_P,A4_N,A5_P,A5_N,A6_P,A6_N,PRE_P,PRE_N,DES_1NPS,DES_2NPS,DES_3NPS,DES_4CPN,DES_5PNS,DES_6CPN,DES_7CPN,DES_8PNS,DES_9PNS,DES_10CPN,DES_11PNS,ValuingHS_1,ValuingHS_2,ValuingHS_3,ValuingHS_4,ValuingHS_5,ValuingHS_6,ValuingHS_7,EgoRS_1,EgoRS_2,EgoRS_3,EgoRS_4,EgoRS_5,EgoRS_6,EgoRS_7,EgoRS_8,EgoRS_9,EgoRS_10,EgoRS_11,EgoRS_12,EgoRS_13,EgoRS_14,OPTIMISM_1,OPTIMISM_2,OPTIMISM_3,OPTIMISM_4,OPTIMISM_5,OPTIMISM_6,OPTIMISM_7,OPTIMISM_8,OPTIMISM_9,OPTIMISM_10,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,PS_8,PR_1,PR_2,EXTRAVERSION_1,EXTRAVERSION_2,EXTRAVERSION_3,EXTRAVERSION_4,EXTRAVERSION_5,EXTRAVERSION_6,EXTRAVERSION_7,EXTRAVERSION_8,EXTRAVERSION_9,EXTRAVERSION_10,EXTRAVERSION_11,EXTRAVERSION_12,TMES_1ME,TMES_2ME,TMES_3ME,TMES_4ME,TMES_5ME,TMES_6ME,TMES_7ME,TMES_8ME,TMES_9ME,TMES_10ME,TMES_11ME,TMES_12ME,TMES_13ME,TMES_14P,TMES_15P,TMES_16P,TMES_17P,TMES_18P,TMES_19N,TMES_20N,TMES_21N,TMES_22N,TMES_23N,TMES_24NEUT,TMES_25NEUT,PROLIFIC_PID,A1Positive,A2Positive,A3Positive,A4Positive,A5Positive,A6Positive,A1Negative,A2Negative,A3Negative,A4Negative,A5Negative,A6negative,A1_M,A2_M,A3_M,A4_M,A5_M,A6_M,Optimism,Extraversion,TotalP,TotalN,TotalM,Resilience,Positivity,DES_NPS,DES_CPN,DES_PNS,TMES_ME,TMES_P,TMES_N,TMES_NEUT,ValuingHappiness,PositiveReappraisal
754,R_28BNolac9RvXKNY,22,2,2,1, ,2,9,9,1,"My roommate works in the hospital and got exposed to COVID a few days ago. She was already feeling sick that week, and her symptoms got worse. She had a fever, sore throat, and body aches. She took a few rapid tests and they all came back negative. I had to stay home from work for a few days because I was worried about spreading something.",6,4,I am worried about going into work.,I hope my roommate's symptoms get better.,I don't know if I can afford to get sick right now.,I am annoyed with my roommate.,I don't think this disease will go away anytime soon.,I wish people would take this more seriously.,3,7,10,0,3,7,8,2,0,10,5,5,5,5,6,6,5,5,5,5,5,3,4,5,5,5,4,3,5,7,3,6,4,2,1,2,2,2,3,2,3,3,3,2,2,1,2,2,1,4,4,2,0,1,2,4,3,5,5,2,4,3,5,6,4,4,3,2,4,2,1,4,2,2,2,3,2,4,5,1,2,4,3,4,2,2,2,3,4,5,4,3,3,4,4,3,2,4,5,4,4,3,1,6101ebf3db55216c04e3cd5a,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,13,31,2,3,0,32,33,17,20,17,41,17,19,4,33,8
1969,R_OP7R7fJ3bjUtq6t,35,2,2,1, ,1,2,6,5,My grandfather who was starting to go through kidney failure and had started dialysis was doing extremely well and had a bright and promising outlook. Then on his 3rd treatment àt the dialysis center he contacted covid(we later found out one of the attending nurses tested positive). His health declined rapidly and within 3 days he was in I.C.U. within that very week he passed due to covid pneumonia. We were all both so shocked and unprepared. Covid proved to be swiftly and deadly thus should be taken seriously and with the utmost precaution to avoid.,2,7,My grandfather had health issues,We were optimistic of his over well being,My grandfather contracted covid,My grandfather's health rapidly declined,My grandfather was hospitalized and passed away,We the family were left unprepared and saddened by his sudden passing,5,8,10,0,1,10,0,10,1,10,0,10,1,9,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,3,6,4,3,2,4,3,2,3,3,3,4,3,2,2,3,4,3,0,3,4,3,0,2,1,3,5,5,4,3,4,5,5,6,4,2,4,4,4,3,2,2,2,3,2,4,2,3,3,2,3,3,3,3,2,4,4,4,3,3,3,4,4,4,3,4,2,3,3,2,3,3,4,60a877548e684d43854de84d,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,11,35,1,5,0,41,37,18,24,24,40,19,13,7,37,6
1083,R_1NewWOPe1wjZdan,49,2,2,1, ,2,5,9,1,"I work in healthcare, have been fully vaccinated and have a protective barrier at my desk.   However, I am still required to wear a face mask despite mask ordinances being dropped.",9,1,"I choose to buy my own disposable masks, as the ones provided to us are scratchy and uncomfortable.",I have to have a fan on my desk blowing on my face so my glasses do not fog up,I constantly have to remind patients that they need to wear a mask while in the office,There are some patients who refuse to wear a mask and create drama,"Some days it is hard to wear the mask all day despite the fan on my desk, it is hard to breathe",I do feel the mask protects me from exposure,9,1,3,7,1,9,0,10,2,8,10,0,9,1,6,6,6,6,6,6,6,5,6,6,5,5,3,5,3,6,2,2,3,4,2,3,1,2,2,2,3,3,2,3,3,2,3,4,2,4,4,5,0,4,2,4,6,6,6,2,7,5,6,6,4,4,2,4,4,2,4,4,2,4,4,2,4,2,2,4,3,3,2,2,2,3,2,2,2,2,3,3,4,4,3,4,1,3,1,2,3,3,2,616219858efadb059140ce72,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,15,38,2,4,0,35,44,18,24,22,32,18,10,5,26,8
3303,R_3j0vQGvk2y4bcVp,22,2,1,2, ,1,9,6,4,"My stepbrothers roommate tested positive. He was supposed to come see a show that I’m in, but even though he tested negative himself, we all agreed it’s best to wait things out",6,3,I hope he’s opay,I hope his roommate is okay,I just want to think about the show,I don’t really care if he comes or not,He’s usually really safe anyway,I hope he can come see the show next week,8,3,5,1,8,3,2,4,8,1,8,1,4,6,7,7,7,7,7,7,7,7,7,7,7,5,5,5,7,7,6,6,3,2,3,2,3,2,2,3,2,3,3,3,4,1,2,2,0,2,4,4,0,2,0,2,3,5,4,2,3,3,5,3,3,3,1,4,4,1,2,4,1,2,4,2,1,2,4,3,4,3,4,4,4,3,3,4,4,5,4,2,3,3,3,2,3,3,5,2,3,4,4,61036b50ca5be39e19acdc3d,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,28,4,0,0,36,28,21,28,28,49,13,16,8,41,6
822,R_1OvIgJwTaAB6ojO,40,2,2,1, ,2,2,8,0,I feel the pause in mask wearing is partially a measure of whether citizens will find it possible to forget about the very real health risks still prevalent.  Obviously this will lead to increased illness and some will have more negative consequences than others.,8,0,I believe increased illness will result.,Different types of responses will occur with varying results.,Some will be viewed as too cautious.,Some will be viewed as irresponsible.,No one will be sure which actions caused illness.,No one will know what response their body will have to sickness.,0,10,5,5,0,2,0,2,1,10,5,5,8,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,5,5,1,1,4,4,4,4,4,4,3,3,4,2,4,3,4,3,5,5,3,2,5,3,3,5,3,5,5,7,6,2,7,6,7,7,3,2,5,5,5,5,5,5,5,5,4,5,5,4,3,1,1,2,3,3,1,3,5,5,3,2,2,5,5,5,3,5,2,2,2,2,4,2,3,5d2eac390aca250001e9c3e1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,58,0,2,0,50,47,18,24,24,34,23,12,5,15,5
445,R_1dtd4U1nkglMQv0,38,1,2,3, ,4,9,7,2,I was working on a project that had an upcoming deadline. It made me feel stressed out and I was unsure if I was capable of meeting this deadline. I sulked and ended up not doing what I was set out to do.,1,8,I can't concentrate.,I don't feel well.,I feel nauseous.,I isolate from everyone.,I feel alone.,I don't know who to turn to.,0,6,0,4,0,6,0,5,1,8,0,5,1,6,6,6,6,5,5,5,5,5,5,5,5,6,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,2,4,4,4,2,3,2,4,6,6,6,2,6,6,6,6,3,3,4,4,4,4,4,4,2,5,3,3,4,4,3,3,3,3,3,3,2,3,3,3,2,3,2,4,2,4,3,3,2,2,3,2,2,2,2,5dae16d241fbb6001160ce72,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,18,45,0,3,0,40,44,18,20,20,36,16,11,4,34,6
745,R_UhV8Exiy3NauzHH,44,2,2,1, ,1,3,9,0,my covid situation im in middle of is the fact that people still wear masks and stores sometimes ask that i wear the mask. if i thought the mask helped i would wear it.,9,0,i wanna see people stop wearing masks,i hope this is over soon so life can get back to normal,im sick of being at home,i hope stores will stay open longer when this is over,im excieted to see how much i know,i cant think of another,10,0,9,0,9,1,9,0,5,0,1,8,9,0,6,6,6,6,6,6,6,6,5,6,5,5,2,2,3,3,3,2,3,3,3,3,2,3,2,2,3,2,3,2,3,3,3,4,0,3,5,4,2,4,2,4,5,6,6,3,6,5,6,6,1,1,4,4,4,5,4,3,4,2,4,4,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,4,2,2,2,2,3,2,3,5be9fd84271bf10001525264,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,44,4,1,0,37,43,18,24,22,38,20,11,5,20,2
604,R_1fkimPCeeJxCvcI,43,2,2,1, ,2,9,7,3,"Recently, I took my children for a visit to a museum that they have always really enjoyed going to.  When we got there, they were not happy that the museum still had a mask requirement, and in addition, several of the exhibits were closed since they were ""hands on"" type of activities.  I had to deal with comments from my children about COVID ruining everything that was fun.",7,5,I am thankful for the opportunity to work remotely.,I am overwhelmed juggling my children's schoolwork with my own job.,I am worried that my children are unvaccinated,I have much lower energy levels than I used to.,I spent a lot more time at home.,I take a lot less care about my appearance and personal hygiene.,10,1,1,8,0,10,2,7,6,6,4,7,6,5,6,5,5,7,7,7,7,6,6,7,7,3,5,3,7,6,2,5,3,3,2,2,3,1,1,4,2,3,2,2,3,1,3,2,2,3,4,3,2,3,1,4,4,2,3,1,6,5,5,6,1,2,3,3,4,2,1,2,2,1,2,2,2,3,3,1,4,3,4,2,2,2,2,2,4,4,3,4,3,3,3,2,1,3,3,2,3,3,3,5f65597823696e0e9bd8f63a,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,15,27,1,4,1,32,32,16,28,26,36,15,12,6,31,3
682,R_O6UsM9ftNKXdWCd,23,1,2,2, ,2,9,5,5,"A COVID situation I am currently experiencing is that my parents are not allowing me to dine in anywhere. I can't eat inside places with my friends, which makes them less prone to hang out with me.",4,5,I want want freedom to meet with my friends,My hang out options are restricted,I want to respect the decisions of my parents,I disagree with my parents view point,It feels more boring to eat at home,All my other friends can dine in,0,8,0,6,7,1,0,6,0,6,0,8,3,6,6,6,6,6,6,5,6,5,6,6,7,1,5,2,5,5,1,2,3,3,3,2,4,2,3,3,3,2,4,4,3,4,4,4,2,4,5,4,2,5,2,4,4,6,6,3,6,4,5,6,2,2,3,2,4,3,2,2,2,2,4,3,2,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,4,2,2,2,2,2,3,2,5f5ab115b8e6411bcb5dadf1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,18,33,1,5,0,43,40,18,23,24,36,18,10,5,21,4
718,R_3CUa5mhqtSE3B2C,52,1,2,1, ,2,9,8,1,"During the first half of the pandemic, my life did not change greatly and I was relatively happy. Then, all of a sudden last year, I became very sad. I had realized that I missed my friends very much and it made me very depressed.",8,1,I had a hard time focusing on my responsibilities.,I was getting bored not being able to do the things I liked to do.,I had trouble adjusting to a new way of life.,I saved money by not going out to eat as much.,I looked forward to spending time with my friends once the pandemic was over.,I was able to work from home and see more of my wife.,0,10,0,5,0,10,10,0,10,0,10,0,8,1,5,5,5,5,5,5,5,5,6,6,6,4,1,1,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,5,5,3,5,5,3,3,5,3,5,7,7,6,6,7,7,7,7,4,4,5,2,4,4,4,5,5,5,4,3,5,5,1,1,1,1,1,1,1,1,3,3,1,1,1,1,4,4,3,4,1,2,1,1,2,3,2,5ed17f22e1dc340c98fd6bc7,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,24,51,3,2,0,53,54,15,21,22,17,16,7,5,24,8
2073,R_2xQWLrxoqCXYeq2,21,2,2,2, ,1,6,7,2,"Due to the pandemic, I recently had to take a COVID test within 24 hours of flying in order to catch a flight from London to Detroit. To meet this requirement, I had to have an at-home test sent to me at my dorm. I then had to have a telehealth meeting where I completed the test with someone via webcam, then waiting to receive my results digitally.",7,1,I was anxious about not receiving my results on time.,I was glad I had successfully received the test in the mail.,I was clumsy about completing the test.,I was glad the testing was quick.,I was awkward with the telehealth worker.,I was happy once I got my negative results and the whole process was over.,0,3,7,0,0,2,5,0,0,2,10,0,7,1,7,7,7,7,7,7,7,7,7,7,7,2,6,2,6,4,5,4,4,1,2,4,2,1,2,2,2,4,3,2,2,1,2,3,2,4,5,2,2,3,1,4,7,5,6,1,5,7,7,6,1,2,3,3,5,2,4,1,1,3,2,2,3,2,3,1,3,3,4,4,4,2,5,5,5,5,3,4,3,3,3,3,3,3,5,2,5,5,2,60404202854687247acf1d03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,31,2,0,0,32,44,21,28,28,47,16,18,7,29,3
793,R_3Deb7af9rttdpEY,33,2,2,1, ,3,6,6,4,"I'm unsure what this prompt is asking for. I wear a surgical or KN-95 mask whenever I'm indoors in public, get COVID-tested by my workplace every few weeks, and am fully vaccinated (including a booster). At this point, I don't eat in restaurants or otherwise unmask in public, haven't travelled except to visit family or to camp since the panemic started, and I don't engage closely with anyone who's at high risk. But I don't really mind any of the changes to my life that are related to COVID, and I'm not very worried about catching it. I think I might have had COVID in 2020, since I had some long COVID symptoms for several months, but everything seems fine now.",6,4,I wear masks whenever I'm indoors (except at home),I don't eat in restaurants,My family and I are all vaccinated,I hope all my family and friends remain healthy and safe,I get regularly tested,"I want to travel but am not sure about doing so, since I'd feel like I ought to wear a mask but would feel awkward doing so where I might be the only one.",7,3,5,5,9,1,5,5,5,2,3,7,6,4,6,6,6,6,5,6,6,6,5,6,5,3,4,2,5,3,4,2,3,3,2,3,2,2,3,2,3,3,2,3,1,3,3,3,1,2,4,3,1,4,2,3,4,5,5,2,4,4,4,5,2,3,2,2,2,1,2,3,1,3,2,2,2,2,2,2,3,4,3,3,3,3,3,3,4,4,3,3,4,4,2,4,3,3,3,2,3,4,2,5e33837fa617e535a5be85a7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,24,2,1,0,35,33,18,24,21,40,17,14,6,23,5
727,R_1oz5hngsdkKszaZ,33,2,2,1, ,2,9,6,4,My parents went on a trip out of state and were exposed to multiple people with covid. They are testing negative but still scary,6,4,I’m scared that my parents will test positive,I’m grateful they are testing negative 5 days out,I’m stressed my parents can’t help with childcare for my daughter in the meantime,I’m glad we have access to covid tests/medical care,I’m having a lot of anxiety waiting for resolution on if they caught covid,I’m glad I love people so much I worry about them,0,10,10,0,0,7,8,0,0,7,10,0,6,4,6,6,5,7,6,7,7,5,5,7,5,5,2,5,3,7,3,6,4,3,1,3,3,3,2,2,3,4,2,3,2,2,3,3,2,4,4,3,3,2,3,4,6,6,7,6,6,6,6,6,3,2,2,2,5,3,2,2,2,4,4,4,2,3,3,2,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,4,2,3,4,2,2,3,3,5fa860500a049f6ce8e21e2e,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,19,35,3,3,0,37,49,17,28,21,41,18,13,6,31,5
574,R_uwiiooU9ahSUxXz,20,1,2,1, ,1,9,5,2,"Trying to attend classes online, and continue to build a social network in college was extremely difficult last year. Especially with remote learning from home instead of being on campus. Not a lot of social interaction was available on a consistent basis.",5,2,Anxious to meet new people,Nervous relationships aren't that strong,Feelings of isolation,Spent more time with family,Got a new job,Stress over online classes,0,6,0,10,0,9,6,1,8,1,0,8,4,3,7,7,7,7,7,7,7,7,7,7,7,2,3,5,6,3,2,2,4,1,1,3,2,1,2,2,3,4,2,2,2,1,2,1,0,2,4,5,5,2,5,2,3,5,2,2,5,5,2,2,2,2,1,4,5,2,4,2,1,4,1,4,2,2,5,4,4,4,4,5,4,4,3,2,5,4,4,2,2,3,3,2,1,3,5,2,4,4,2,61645b54dd522f97552016d2,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,16,32,2,4,0,30,26,21,28,28,52,12,15,6,23,4
1401,R_3M6bMYKULDLtjyG,31,2,2,1, ,1,6,5,7,"My daughter was suppose to have two procedures on February 11 of this year.  Prior to the procedure scheduled date, you are required to have a negative covid test.  To my surprise, she was positive.  The next day after hearing her positive results, I had to go get my older daughter from school.  Her and I went for a test, and also my husband had to leave work.  Come to find out, we were all positive.  So my daughter had to miss a week of school, my husband work, and my younger daughter therapy.  We were trapped in this house, without any preparation.  It was a very nerve-wracking situtation.",3,8,Anxiety ridden,My oldest daughter falling behind in school,My husband having to miss work for a week,"My daughter having to wait six more weeks for procedures, that are considered dire.",Worried about how we were going to obtain groceries.,We did get to spend a lot of time as a family,0,10,0,8,0,9,0,10,0,9,10,0,0,8,6,7,7,7,6,7,7,6,6,6,7,4,5,2,7,7,4,4,4,2,3,3,2,3,4,3,3,3,3,2,3,1,3,1,1,3,5,4,1,2,2,3,4,5,4,2,6,4,6,3,4,4,5,3,5,5,4,2,5,3,2,5,4,4,4,2,4,4,5,4,4,4,5,5,4,5,5,4,1,3,4,5,5,3,5,2,3,2,4,5cf94dbbf8ff8a0015730cf5,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,13,47,1,5,0,39,34,20,27,25,55,17,18,6,33,8
819,R_31TOPH7ivMbl9xQ,24,2,1,4, ,3,6,6,2,My sibling contracted COVID-19 because she was not masked during an indoor event. I have suggested to her numerous times that masking is still necessary despite most people not wearing them anymore. My parents were at the same indoor event and worse masks. They did not contract COVID-19.,4,6,I was anxious about my parents contracting COVID-19.,I was anxious about my nephew contracting COVID-19.,I was anxious about my sibling getting very ill from COVID-19,I felt confident that my advise to wear a mask indoor was good advise.,I was annoyed at the people hosting the indoor event because of their loose masking rules.,I was curious to who else contracted COVID-19 from the indoor event.,0,9,0,10,0,8,9,0,2,8,7,2,3,1,6,6,6,6,5,6,6,6,6,6,6,2,2,2,5,3,3,2,3,3,2,3,4,1,3,2,2,2,3,2,3,2,4,3,0,4,4,2,0,2,0,2,5,5,5,3,6,6,6,5,2,3,4,4,4,2,2,1,4,4,4,4,4,2,4,2,2,3,3,4,3,2,3,3,4,4,2,4,2,3,3,2,3,3,4,1,3,2,2,613264490f8d0a0fc6451fd2,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,10,39,2,4,0,35,41,18,24,23,39,14,14,4,19,5
773,R_2TKKP2ZkKG76cWN,26,2,2,1, ,2,9,6,0,"I am dealing with not being able to go on a honeymoon out of the country because most countries/international flights require you to be vaccinated, and I am not.",6,0,I am bummed we can't go out of the country,It might be better anyways to stay in the country,It isn't that big of a deal to me,There are plenty of places we can go here,I can't wait to go on my honeymoon,Covid sucks,0,7,7,0,5,5,7,0,7,0,0,5,6,0,6,6,6,6,6,6,6,6,6,6,6,4,3,2,2,6,2,5,4,4,3,3,2,2,3,3,3,2,3,2,2,4,3,4,2,4,4,3,2,4,2,4,6,6,7,4,6,7,5,6,4,4,2,2,4,2,2,5,2,2,3,2,2,4,3,2,3,2,3,3,2,2,3,3,4,4,3,4,4,4,3,5,2,2,3,1,3,5,2,60fd7615bd906baec616bf50,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,32,3,1,0,40,47,18,24,24,37,20,11,7,24,8
829,R_1rN7fYn1pg5wbNt,33,1,2,2, ,2,4,1,7,"Lockdown was an interesting experience. @watching the news and seeing the death numbers increase the way they did. The way that there were trucks shipped in to hold bodies in refrigerated containers. That was disturbing. That should have made the seriousness of the situation to people, but apparently it didn't.",1,6,I'm trying to get a GPU that has been in shortage since late 2020,I am trying to get a job,I was really hassled by a recruiter last week,I was also hassled by my therapist,I was very candid with my therapist.,I found out I live with a hoarder.,9,3,1,10,10,0,10,0,2,9,0,9,2,8,6,6,6,6,6,6,6,6,6,6,6,3,5,5,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,2,3,3,1,2,1,3,2,2,2,2,4,4,3,2,2,3,2,2,4,2,3,3,2,2,4,2,3,3,4,3,4,4,3,3,4,3,3,2,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,5726570ef2a83f000f6aea6d,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,9,32,3,3,0,42,21,18,24,24,45,15,14,6,37,5
739,R_qzrWyLcrxWLVF8R,30,2,2,1, ,2,3,5,5,"I have had cold like symptoms for almost a week now. In pre pandemic days, I would've simply assumed I had a cold but now mild, manageable with (though unpleasant) symptoms ring alarm bells. I found myself wondering if there was any way I had Covid. I went back and forth wondering if it was safe to go to work but ultimately decided I felt well enough and most likely did not have Covid. I also had to work because I couldn't afford to miss it.",5,5,It is unfortunate to be sick regardless of whether it is a cold or something worse.,I am eager to get better and not spread it to anyone I care about.,Regardless of how I feel I must go to work because I can't afford to miss it.,Singing at my job will be difficult since I am congested and hopefully it doesn't aggravate my sore throat further.,I am grateful it only seems to be a mild cold and is not progressing.,Being sick in this pandemic time where a potential surge looms reminds me I should still be exercising caution at all times.,5,5,5,5,0,10,4,6,7,5,4,7,5,5,5,5,5,6,5,6,6,5,5,6,6,5,2,5,6,5,4,3,4,2,2,4,4,3,2,4,3,3,3,3,3,3,3,2,1,3,5,3,2,3,2,4,3,6,5,2,4,5,4,5,3,3,5,3,4,4,3,4,3,4,4,4,2,5,3,2,4,4,4,4,3,3,5,4,4,4,3,3,3,4,4,4,3,4,4,2,2,3,3,60006f7aa028d70dab3baf76,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,15,45,1,3,0,43,34,15,24,21,47,18,15,6,30,6
2403,R_2Sk5MSZIw6P1BW6,25,1,1,4, ,1,6,3,7,I still have to wear a mask to work everyday.,3,7,Is occasionally difficult to understand someone.,Constantly needing replacements,Security issue,Fuzz from mask in nose/mouth,Occasionally difficult to breathe,Not always available,0,4,0,2,0,6,5,0,0,3,0,3,3,7,6,6,6,7,6,5,5,6,6,6,6,3,2,2,5,5,2,6,3,4,4,4,3,2,3,3,3,4,4,4,4,3,3,2,5,4,4,4,0,4,0,3,6,6,4,3,7,6,5,6,3,4,5,4,2,4,5,2,5,5,2,4,4,3,2,3,2,2,2,2,3,2,3,3,2,3,1,3,2,3,3,3,1,2,2,2,3,3,2,615dd006c8a238de511cc311,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,45,0,1,0,48,43,18,23,24,30,14,10,5,25,7
689,R_1IxTFlQEvkBn90G,28,2,2,3, ,2,1,7,3,"I experienced COVID during December of 2021, and it was hard, I am a medical student and I had to miss the second week of my Cardiology rotation, and then could not come home for christmas until the appropriate time. I was at my apartment alone with congestion, headache, so much fatigue that I could barely be up long enough to go to the bathroom, even lying down hurt because of the point tenderness. I was so upset that my christmas was all by myself. But I was thankful for my family sending me food, my boyfriend who kept me company and my friends who called me.",7,2,I felt very fatigued.,I felt sad that I couldnt go home at my originally intended date.,I was relieved to have an exam pushed forward and a week of my rotation canceled.,I felt fortunate to have my friends and family support me.,I felt frustrated that I was alone on Christmas.,I felt anxious about when I would next be able to take my exam.,0,4,0,7,7,0,9,0,0,9,0,6,7,1,6,5,5,6,6,5,5,3,3,6,6,5,1,5,5,6,5,5,3,3,2,4,4,3,2,4,2,2,4,3,3,3,2,1,1,3,4,4,1,3,0,2,6,4,6,6,5,7,6,6,4,4,5,5,5,5,4,4,5,3,4,5,3,4,4,2,5,2,5,3,4,3,3,4,5,4,3,3,2,3,4,2,3,3,5,3,5,1,2,5ee8200262b1cc12348550e3,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,9,52,2,3,0,42,46,16,22,18,47,14,19,3,32,8
606,R_1osVoZLMMmgRZtF,22,1,2,1, ,2,5,10,0,"Covid has still been impacting me due to the economic struggles it has imposed, and the uncertainty it has caused.",10,0,I'm worried about money,Getting sick with covid,Hoping my family members are safe,I'm worried about when this will go away,I wonder if we will ever go back to normal,how long will my job stay remote,0,10,0,10,5,5,0,10,0,10,5,5,10,0,6,6,6,6,6,6,6,5,5,6,6,3,5,2,7,7,7,5,4,3,2,3,4,2,4,2,2,4,4,2,2,3,2,4,0,2,4,4,0,3,0,2,3,3,2,1,2,3,2,2,3,2,4,2,5,1,4,4,1,5,2,1,4,2,4,3,3,4,3,3,3,4,4,4,4,3,3,3,4,3,3,3,2,4,5,3,4,4,3,6119d9f5a882080ef1c9e9e6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,6,35,0,4,0,41,18,18,24,22,45,16,18,7,36,5
860,R_2P6d2Yppg5S12y5,22,1,2,2, ,1,3,10,0,Since covid we still have to wear mask in places that we go to.,10,0,I nervous to go to this place,How many people will be there,Will I be the only we with a mask on,Will everyone have a mask on,Will the people who work at the place have a mask on,How far apart will we have to stand from each other,8,4,8,3,9,5,6,3,7,4,8,3,10,0,5,5,5,6,6,5,5,3,5,5,6,5,3,6,3,5,3,6,3,2,2,3,3,3,2,2,3,3,2,3,2,3,2,3,0,3,3,2,1,4,0,4,5,6,5,3,3,4,5,6,3,2,4,3,4,2,2,2,2,2,4,2,2,4,1,1,1,1,1,1,2,2,3,3,1,2,3,3,4,4,4,4,1,1,3,1,3,4,3,6169148bd6f750bb95b972b0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,33,6,0,0,36,37,15,21,20,22,19,9,7,31,5
1059,R_31j9Ol8Fnt6vqvs,29,2,2,1, ,2,9,10,1,"The coronavirus was locked down when more and more people were dying from the virus. I was terrified of myself and my relatives were terrified. One of my relatives died of the coronavirus. Most of the time I spent as a quarantine in my own home.  Although I was a little mentally weak, I was fairly well, but there was a lot of tension about how we would all get rid of this coronavirus.",10,3,I was a little emotionally broken during the coronavirus.,There was panic in it.,"Even if the food was eaten very carefully, it would have to be cleaned again and again.",Suddenly I could not go to my relatives.,Couldn't spend that little time outside,Couldn't spend that little time outside,9,7,9,7,8,5,9,4,8,6,8,4,5,9,5,5,6,6,5,5,5,5,6,5,5,6,4,5,6,6,6,6,4,4,2,3,4,4,3,3,3,4,3,4,4,3,5,5,1,5,5,5,5,5,5,4,7,7,7,2,7,6,7,7,4,4,5,5,3,2,4,1,2,1,5,5,1,5,4,3,3,3,5,3,5,5,3,5,4,5,4,5,5,5,4,5,5,3,4,4,2,5,5,614ee4370d85f20de1b9548f,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,25,39,3,0,3,48,50,16,21,21,52,24,18,10,39,8
